"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
1,"Tyrese Maxey",25,"PG","PHI",57,2190,3.6,27.2
2,"Amen Thompson",23,"PG","HOU",56,2073,4.6,16.8
3,"Mikal Bridges",29,"SF","NYK",59,2014,3.3,16.5
4,"Kevin Durant",37,"SF","HOU",55,2011,4.8,25.7
5,"Toumani Camara",25,"PF","POR",60,2008,3.9,14
6,"Julius Randle",31,"PF","MIN",60,2004,5.6,23.3
7,"Jabari Smith Jr.",22,"PF","HOU",57,1985,5.5,16
8,"Desmond Bane",27,"SG","ORL",58,1979,3.1,21.4
9,"Scottie Barnes",24,"PF","TOR",57,1953,6.5,20
10,"DeMar DeRozan",36,"PF","SAC",61,1945,2.9,20.7
11,"VJ Edgecombe",20,"SG","PHI",55,1943,4.1,15.6
12,"Brandon Ingram",28,"SF","TOR",57,1939,5.3,23.1
13,"Dyson Daniels",22,"SG","ATL",58,1937,4.7,12.2
14,"Nickeil Alexander-Walker",27,"SG","ATL",58,1925,3.2,21.5
15,"Derrick White",31,"SG","BOS",56,1922,3.5,18
16,"Jalen Johnson",24,"SF","ATL",54,1901,9.3,23.5
17,"Kon Knueppel",20,"SF","CHO",59,1884,4.8,21.9
18,"Jamal Murray",28,"PG","DEN",54,1882,4.1,25.9
19,"Jalen Brunson",29,"PG","NYK",54,1874,3,27.7
20,"Jaden McDaniels",25,"PF","MIN",58,1871,3.7,16.9
21,"Donte DiVincenzo",29,"SG","MIN",60,1867,4,14.9
22,"Payton Pritchard",28,"PG","BOS",57,1865,3.7,18.9
23,"Trey Murphy III",25,"SF","NOP",52,1853,4.7,22.3
24,"Donovan Mitchell",29,"SG","CLE",55,1840,4,30.7
25,"Immanuel Quickley",26,"PG","TOR",56,1818,4.1,19.2
26,"Anthony Black",22,"PG","ORL",58,1815,3.7,18
27,"Rudy Gobert",33,"C","MIN",57,1792,8.6,12.6
29,"Jaylen Brown",29,"SF","BOS",52,1782,6.3,30.6
30,"Cade Cunningham",24,"PG","DET",51,1782,4.9,26.2
31,"Anthony Edwards",24,"SG","MIN",50,1778,4.6,30
32,"Ryan Rollins",23,"PG","MIL",55,1772,4.2,19.2
33,"Royce O'Neale",32,"SF","PHO",60,1761,5,12.4
34,"Miles Bridges",27,"PF","CHO",55,1753,5.7,20.2
35,"Pascal Siakam",31,"PF","IND",52,1752,5.6,25.5
36,"Onyeka Okongwu",25,"C","ATL",55,1733,6.8,18.2
37,"Karl-Anthony Towns",30,"C","NYK",55,1723,9.9,22.9
38,"Alperen Şengün",23,"C","HOU",51,1720,6.5,21.7
39,"Matas Buzelis",21,"PF","CHI",60,1711,5.6,19.4
40,"Naji Marshall",28,"SF","DAL",57,1705,4.9,18.7
41,"Collin Gillespie",26,"PG","PHO",59,1694,3.9,17
42,"Andrew Wiggins",30,"SF","MIA",54,1684,3.8,18.6
44,"Paolo Banchero",23,"PF","ORL",48,1673,7.6,22.4
45,"Cooper Flagg",19,"SF","DAL",49,1669,5.7,21.5
46,"Wendell Carter Jr.",26,"C","ORL",56,1661,6.6,14.1
48,"Julian Champagnie",24,"SF","SAS",59,1646,6.4,14.7
49,"Luka Dončić",26,"PG","LAL",46,1640,7.1,33
50,"Shai Gilgeous-Alexander",27,"PG","OKC",49,1632,4.2,34.4
51,"Keyonte George",22,"PG","UTA",48,1629,3.6,25.2
52,"Bam Adebayo",28,"C","MIA",52,1628,9,21.3
53,"Saddiq Bey",26,"SF","NOP",53,1622,4.9,20.3
54,"Russell Westbrook",37,"SF","SAC",56,1617,5.2,19
55,"Kris Dunn",31,"PG","LAC",58,1613,3,10.2
56,"Bub Carrington",20,"PG","WAS",58,1611,4.2,12.7
57,"Deni Avdija",25,"SF","POR",48,1608,6.4,26.3
58,"Brandin Podziemski",22,"SG","GSW",59,1605,5.5,16.3
59,"A.J. Green",26,"SG","MIL",53,1601,2.8,12.3
60,"Harrison Barnes",33,"PF","SAS",59,1594,2.7,13.7
61,"De'Aaron Fox",28,"PG","SAS",50,1580,3.7,21.7
62,"Jaime Jaquez Jr.",24,"SF","MIA",55,1574,5,18.9
63,"Tim Hardaway Jr.",33,"SG","DEN",58,1572,3.2,18.5
64,"Max Christie",22,"SG","DAL",53,1570,3.9,16.1
65,"Quentin Grimes",25,"SG","PHI",53,1564,3.7,15.6
66,"Nic Claxton",26,"C","BRK",53,1551,5.8,15.5
67,"Naz Reid",26,"C","MIN",59,1550,7.2,19.3
68,"Cason Wallace",22,"SG","OKC",57,1547,3,11.8
69,"Duncan Robinson",31,"SF","DET",55,1539,2.9,15.9
70,"Jeremiah Fears",19,"PG","NOP",60,1532,4.2,18.4
71,"Jake LaRavia",24,"PF","LAL",58,1532,3.5,12.5
72,"Dillon Brooks",30,"SF","PHO",50,1530,3.4,24.6
73,"Chet Holmgren",23,"PF","OKC",52,1520,8.5,21.2
74,"Derik Queen",21,"C","NOP",59,1518,7.8,17
75,"Donovan Clingan",21,"C","POR",55,1518,9,15.5
76,"Michael Porter Jr.",27,"SF","BRK",46,1509,6.4,27
77,"Jaylon Tyson",23,"SG","CLE",55,1507,4.6,17.7
78,"Peyton Watson",23,"SF","DEN",49,1502,4.7,17.5
79,"Jaylen Wells",22,"SG","MEM",56,1501,3.3,16.5
80,"Myles Turner",29,"C","MIL",53,1495,5.6,16.1
81,"OG Anunoby",28,"PF","NYK",45,1493,4.3,17.4
82,"Andrew Nembhard",26,"PG","IND",47,1489,2.7,19.8
83,"Noah Clowney",21,"PF","BRK",52,1475,4.1,16.4
84,"John Collins",28,"PF","LAC",53,1474,4.9,17.8
85,"Bruce Brown",29,"SG","DEN",59,1473,4.1,11.1
86,"Nikola Jokić",30,"C","DEN",43,1472,9.9,30.3
87,"Norman Powell",32,"SG","MIA",49,1470,3.9,27
88,"Evan Mobley",24,"PF","CLE",45,1470,7,19.3
89,"Devin Booker",29,"SG","PHO",44,1467,3.4,26.7
90,"Stephon Castle",21,"PG","SAS",49,1456,4.5,20.1
91,"Jarace Walker",22,"PF","IND",59,1455,6.2,15.9
93,"Moses Moody",23,"SG","GSW",57,1451,3.5,16.9
94,"Lauri Markkanen",28,"PF","UTA",42,1443,5.1,28
95,"Reed Sheppard",21,"SG","HOU",58,1442,3.3,18.9
96,"Kawhi Leonard",34,"SF","LAC",44,1441,5.9,30.8
97,"Shaedon Sharpe",22,"SG","POR",48,1439,4.1,25.6
98,"Kyle Kuzma",30,"PF","MIL",54,1436,5.4,17.5
99,"Josh Hart",30,"SF","NYK",47,1428,7.2,14
100,"Sion James",23,"SG","CHO",60,1424,4.4,8.2
101,"Davion Mitchell",27,"PG","MIA",49,1408,2.8,11.1
102,"Deandre Ayton",27,"C","LAL",50,1406,7.6,16.6
103,"Devin Vassell",25,"SG","SAS",46,1406,3.9,16.9
104,"Rui Hachimura",27,"PF","LAL",47,1387,3.4,14.3
105,"Keldon Johnson",26,"SF","SAS",59,1384,5.9,20.2
106,"Ace Bailey",19,"SF","UTA",52,1380,3.2,16.2
107,"Neemias Queta",26,"C","BOS",55,1378,7.7,14.1
108,"LaMelo Ball",24,"PG","CHO",50,1377,5.2,25.3
109,"Luguentz Dort",26,"SF","OKC",49,1373,3.7,11.3
112,"Ausar Thompson",23,"SF","DET",53,1370,5.2,14.1
113,"Isaac Okoro",25,"SG","CHI",51,1357,2.2,12.5
114,"Marcus Smart",31,"SG","LAL",48,1356,2.8,12.1
115,"Kyshawn George",22,"SF","WAS",46,1354,5.3,18.1
116,"Sam Hauser",28,"PF","BOS",55,1336,4.6,13.7
117,"LeBron James",41,"SF","LAL",40,1334,5.4,23.2
118,"Bobby Portis",30,"PF","MIL",55,1330,7.7,19.6
119,"Ivica Zubac",28,"C","LAC",43,1328,8.8,16.8
120,"Jarrett Allen",27,"C","CLE",48,1321,7.8,19.8
121,"Moussa Diabaté",24,"C","CHO",52,1318,7,11.9
122,"Zion Williamson",25,"PF","NOP",44,1317,4.5,26.3
123,"Cam Spencer",25,"SG","MEM",55,1314,3.3,16.8
124,"Jamal Shead",23,"PG","TOR",59,1310,2.6,11.4
125,"Isaiah Collier",21,"PG","UTA",51,1307,3,15.2
126,"Jalen Duren",22,"C","DET",47,1307,8.8,23.6
127,"Victor Wembanyama",22,"C","SAS",45,1307,11.3,29.4
128,"Mark Williams",24,"C","PHO",55,1300,7.5,17.7
129,"P.J. Washington",27,"PF","DAL",42,1300,6.6,16.6
130,"Brandon Miller",23,"SF","CHO",43,1292,4.3,25
131,"Jerami Grant",31,"PF","POR",44,1290,3.2,23.1
132,"Egor Dёmin",19,"PG","BRK",51,1287,4,14.9
133,"Kyle Filipowski",22,"C","UTA",58,1286,7.8,16.2
134,"Maxime Raynaud",22,"C","SAC",53,1281,7.6,15.4
135,"Draymond Green",35,"PF","GSW",48,1279,6.6,11.5
136,"Sandro Mamukelashvili",26,"C","TOR",57,1268,5.5,17.9
137,"Nique Clifford",23,"SG","SAC",57,1263,3.9,11.3
138,"Cedric Coward",22,"SG","MEM",48,1263,6.7,18.2
140,"Terance Mann",29,"SG","BRK",50,1245,3,11
142,"Brice Sensabaugh",22,"SF","UTA",56,1238,3.7,20.9
143,"Kel'el Ware",21,"C","MIA",56,1230,10.2,18.5
145,"Oso Ighodaro",23,"PF","PHO",60,1224,5.4,10.1
146,"Zach LaVine",30,"SG","SAC",39,1224,2.9,22
147,"Tristan Da Silva",24,"SF","ORL",53,1223,4.2,13.6
148,"Stephen Curry",37,"PG","GSW",39,1222,3.6,31.3
149,"Jay Huff",27,"C","IND",60,1217,5.1,15.8
150,"Josh Giddey",23,"PG","CHI",39,1215,7.9,20.5
151,"Pelle Larsson",24,"SG","MIA",49,1213,3.7,14.9
152,"Kelly Oubre Jr.",30,"SF","PHI",37,1208,4.2,16
153,"Jordan Goodwin",27,"PG","PHO",54,1206,4.6,14.4
154,"Santi Aldama",25,"PF","MEM",43,1198,6.6,18.1
155,"Jimmy Butler",36,"SF","GSW",38,1182,3.7,23.1
156,"Sidy Cissoko",21,"SF","POR",54,1179,2.6,10.1
158,"Spencer Jones",24,"SF","DEN",50,1171,3.3,9
159,"Klay Thompson",35,"SF","DAL",53,1169,3.4,18.8
160,"Dominick Barlow",22,"PF","PHI",48,1162,4,12.2
161,"Alex Sarr",20,"C","WAS",41,1156,6.9,21.9
162,"Tobias Harris",33,"PF","DET",41,1149,5.5,16.7
163,"Grayson Allen",30,"SG","PHO",38,1148,2.9,20.9
164,"Zaccharie Risacher",20,"SF","ATL",47,1141,4,15.2
165,"Tre Jones",26,"PG","CHI",43,1138,3.1,16.4
166,"Ajay Mitchell",23,"SG","OKC",43,1129,3.8,19.3
167,"Precious Achiuwa",26,"C","SAC",53,1123,6.3,13.7
169,"Gary Trent Jr.",27,"SG","MIL",49,1117,1.5,12.7
170,"Isaiah Stewart",24,"C","DET",48,1116,5.5,15.5
172,"Brandon Williams",26,"PG","DAL",50,1109,3.7,20.9
173,"Tre Johnson",19,"SG","WAS",45,1099,3.3,18.7
174,"Svi Mykhailiuk",28,"SF","UTA",47,1097,2.7,13.9
175,"Ryan Kalkbrenner",24,"C","CHO",48,1096,5.4,12.7
176,"Isaiah Joe",26,"SG","OKC",51,1092,3.5,18.2
178,"Ron Holland",20,"SF","DET",53,1088,5.9,14.5
179,"Kentavious Caldwell-Pope",32,"SG","MEM",51,1088,3.5,14.2
180,"Dean Wade",29,"PF","CLE",48,1087,5.3,9.2
181,"Luke Kornet",30,"C","SAS",49,1084,5.9,11.7
182,"Jusuf Nurkić",31,"C","UTA",41,1083,10.6,14.9
183,"Kevin Porter Jr.",25,"PG","MIL",32,1081,4.5,19.4
184,"Josh Okogie",27,"SG","HOU",55,1079,3.1,9.8
185,"Cameron Johnson",29,"SF","DEN",35,1077,3.4,13.7
187,"Aaron Wiggins",27,"SG","OKC",45,1076,4.2,15.9
188,"Austin Reaves",27,"SG","LAL",32,1075,4.6,26.4
189,"Patrick Williams",24,"PF","CHI",55,1074,4,12.9
190,"Herbert Jones",27,"SF","NOP",37,1069,3.2,11
191,"Ben Sheppard",24,"SG","IND",49,1067,4.3,11.6
192,"Nicolas Batum",37,"PF","LAC",55,1063,4.3,7.8
193,"Ryan Dunn",23,"SF","PHO",53,1060,4.9,10.7
194,"Dylan Harper",19,"SG","SAS",48,1059,4.4,18
195,"Malik Monk",27,"SG","SAC",48,1059,2.8,20.1
196,"Javonte Green",32,"SG","DET",57,1046,3.8,13.4
197,"Collin Murray-Boyles",20,"PF","TOR",47,1046,4.1,12.6
199,"Day'Ron Sharpe",24,"C","BRK",56,1043,7.6,16.6
200,"Will Richard",23,"SG","GSW",53,1038,2.8,12.9
201,"RJ Barrett",25,"SF","TOR",35,1032,5.5,21.9
202,"Joel Embiid",31,"C","PHI",33,1029,6.4,30.7
203,"Kobe Sanders",23,"SG","LAC",48,1017,3.5,11.8
204,"Justin Champagnie",24,"SF","WAS",53,1011,6.7,14.8
205,"Quinten Post",25,"PF","GSW",58,1002,6.3,15.8
206,"Caleb Love",24,"SG","POR",45,999,3.2,18.3
207,"Brook Lopez",37,"C","LAC",51,994,4.7,13.1
208,"Bilal Coulibaly",21,"SG","WAS",38,992,4.8,13.9
209,"Aaron Nesmith",26,"SF","IND",33,991,4.1,15.9
210,"Miles McBride",25,"SG","NYK",35,981,2.5,16.6
211,"Dru Smith",28,"SG","MIA",58,979,3.6,12.6
213,"Jordan Clarkson",33,"SG","NYK",52,964,1.8,17.4
214,"Kris Murray",25,"SF","POR",38,962,3.1,9
216,"Simone Fontecchio",30,"SF","MIA",56,946,5,17.8
217,"Tari Eason",24,"PF","HOU",36,941,6,15.9
218,"Jalen Smith",25,"C","CHI",46,935,9.1,18.2
219,"Mouhamed Gueye",23,"PF","ATL",58,931,5.5,10.4
221,"Jordan Walsh",21,"PF","BOS",52,924,5.7,11.1
222,"Ja'Kobe Walter",21,"SG","TOR",49,922,3.2,12.7
223,"Craig Porter Jr.",25,"PG","CLE",52,917,4.1,9.3
224,"Gradey Dick",22,"SG","TOR",58,916,3.6,14.3
225,"Sam Merrill",29,"SG","CLE",36,915,2.4,18.4
226,"Jalen Suggs",24,"PG","ORL",35,913,4.4,18.8
227,"Ziaire Williams",24,"SF","BRK",40,908,3.2,14.8
228,"Yves Missi",21,"C","NOP",47,907,5.1,10.4
229,"Jarred Vanderbilt",26,"PF","LAL",49,906,6.6,9.3
230,"Cody Williams",21,"SG","UTA",45,903,2.8,10.4
232,"Drake Powell",20,"SG","BRK",47,894,2.6,11.3
233,"Danny Wolf",21,"PF","BRK",44,891,6.4,14.9
234,"Franz Wagner",24,"SF","ORL",28,891,4.8,24.1
235,"Jrue Holiday",35,"PG","POR",31,883,3.8,19.6
236,"Jaylin Williams",23,"PF","OKC",45,879,8.4,12.6
