"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
59,"A.J. Green",26,"SG","MIL",53,1601,2.8,12.3
447,"A.J. Lawson",25,"SG","TOR",13,109,5.3,16.2
404,"AJ Johnson",21,"SG","2TM",31,245,3.8,12.2
299,"Aaron Gordon",30,"PF","DEN",23,642,6.3,22.8
340,"Aaron Holiday",29,"PG","HOU",37,491,2,15.7
209,"Aaron Nesmith",26,"SF","IND",33,991,4.1,15.9
187,"Aaron Wiggins",27,"SG","OKC",45,1076,4.2,15.9
106,"Ace Bailey",19,"SF","UTA",52,1380,3.2,16.2
246,"Adem Bona",22,"C","PHI",50,826,5.1,9.5
166,"Ajay Mitchell",23,"SG","OKC",43,1129,3.8,19.3
261,"Al Horford",39,"C","GSW",37,783,6.8,13.6
282,"Alex Caruso",31,"SG","OKC",39,712,4,12.6
566,"Alex Chen",22,"PG","GSW",30,600,2,13.1
161,"Alex Sarr",20,"C","WAS",41,1156,6.9,21.9
451,"Alondes Williams",26,"SG","WAS",4,101,7.1,15.7
38,"Alperen Şengün",23,"C","HOU",51,1720,6.5,21.7
446,"Amari Williams",24,"PF","BOS",15,113,7.3,7
2,"Amen Thompson",23,"PG","HOU",56,2073,4.6,16.8
369,"Amir Coffey",28,"SG","2TM",36,373,2.8,10.3
240,"Andre Drummond",32,"C","PHI",44,868,9.6,12.4
421,"Andre Jackson Jr.",24,"SG","MIL",28,177,3.1,8.1
82,"Andrew Nembhard",26,"PG","IND",47,1489,2.7,19.8
42,"Andrew Wiggins",30,"SF","MIA",54,1684,3.8,18.6
111,"Anfernee Simons",26,"SG","2TM",55,1372,2.7,20.6
26,"Anthony Black",22,"PG","ORL",58,1815,3.7,18
303,"Anthony Davis",32,"PF","DAL",20,626,9.1,23.4
31,"Anthony Edwards",24,"SG","MIN",50,1778,4.6,30
372,"Anthony Gill",33,"PF","WAS",33,365,4.7,11.2
365,"Ariel Hukporti",23,"C","NYK",41,379,7.6,8
349,"Asa Newell",20,"PF","ATL",40,445,3.6,16.3
112,"Ausar Thompson",23,"SF","DET",53,1370,5.2,14.1
188,"Austin Reaves",27,"SG","LAL",32,1075,4.6,26.4
110,"Ayo Dosunmu",26,"SG","2TM",52,1373,3,19.8
52,"Bam Adebayo",28,"C","MIA",52,1628,9,21.3
252,"Baylor Scheierman",25,"SG","BOS",53,815,5.7,9.7
364,"Ben Saraf",19,"SG","BRK",22,384,2.7,10.5
191,"Ben Sheppard",24,"SG","IND",49,1067,4.3,11.6
186,"Bennedict Mathurin",23,"SF","2TM",34,1077,5.2,20.8
208,"Bilal Coulibaly",21,"SG","WAS",38,992,4.8,13.9
406,"Blake Wesley",22,"SG","POR",16,229,3.1,14
118,"Bobby Portis",30,"PF","MIL",55,1330,7.7,19.6
361,"Bogdan Bogdanović",33,"SG","LAC",18,389,4.3,12.8
269,"Bones Hyland",25,"PG","MIN",51,752,3.4,16.9
443,"Bradley Beal",32,"SG","LAC",6,121,0.9,14.6
367,"Branden Carlson",26,"C","OKC",35,376,6.5,16.3
58,"Brandin Podziemski",22,"SG","GSW",59,1605,5.5,16.3
12,"Brandon Ingram",28,"SF","TOR",57,1939,5.3,23.1
130,"Brandon Miller",23,"SF","CHO",43,1292,4.3,25
172,"Brandon Williams",26,"PG","DAL",50,1109,3.7,20.9
142,"Brice Sensabaugh",22,"SF","UTA",56,1238,3.7,20.9
411,"Bronny James",21,"SG","LAL",29,211,1.9,10.7
207,"Brook Lopez",37,"C","LAC",51,994,4.7,13.1
402,"Brooks Barnhizer",23,"SG","OKC",31,245,6.8,6.6
85,"Bruce Brown",29,"SG","DEN",59,1473,4.1,11.1
270,"Bryce McGowens",23,"SG","NOP",36,742,3,14.1
56,"Bub Carrington",20,"PG","WAS",58,1611,4.2,12.7
262,"Buddy Hield",33,"SG","2TM",45,773,3.8,16.5
